id,Name,price,quantity,brand,description,size,type,color,storage
1,Sleek Granite Bench,$48.99,6,Nike,Messenger bag beard artisan whatever pabst scenester sustainable. Neutra yuccie goth locavore lo-fi truffaut knausgaard ennui. Ramps 90's ethical. Pbr&b keytar distillery chambray.,,other,emerald,,shop,
2,Ergonomic Copper Lamp,$86.99,14,Nikon,Ennui ramps chambray swag viral try-hard. Tattooed everyday 3 wolf moon goth flexitarian tousled church-key. Drinking put a bird on it hashtag fashion axe.,,other,peach,,shop,
3,Aerodynamic Cotton Coat,$54.99,8,Beats,Biodiesel salvia freegan mustache five dollar toast meditation. Viral 8-bit brunch. Tousled offal retro. Raw denim next level thundercats shabby chic leggings humblebrag.,,other,lavender,,shop,
4,Enormous Linen Lamp,$95.99,13,Nike,Blog farm-to-table normcore vice disrupt shabby chic ennui umami. Cornhole venmo taxidermy mlkshk diy. Brunch venmo cray poutine kombucha scenester carry. Marfa migas leggings pug listicle.,,other,sapphire,,shop,
5,Practical Cotton Pants,$77.99,7,Nikon,Cray vinyl goth photo booth diy paleo organic. Mixtape kinfolk pbr&b lomo plaid craft beer.,,other,tan,,shop,
6,Enormous Bronze Gloves,$50.99,6,Beats,Before they sold out keffiyeh wayfarers put a bird on it. Wes anderson chillwave swag taxidermy try-hard pabst. Helvetica gentrify lo-fi gluten-free brunch craft beer photo booth.,,other,violet,,shop,
7,Ergonomic Leather Lamp,$95.99,14,Adidas,Twee artisan everyday flexitarian keffiyeh. Banjo hoodie bushwick master readymade asymmetrical try-hard tousled. Etsy art party roof knausgaard yuccie neutra.,,other,sangria,,shop,
8,Aerodynamic Plastic Bottle,$44.99,5,Dell,Mustache wayfarers 8-bit intelligentsia +1 phlogiston. Drinking xoxo fingerstache slow-carb. Dreamcatcher chartreuse ugh. Xoxo try-hard wolf.,,other,azure,,shop,
9,Practical Concrete Lamp,$29.99,13,Dell,Fingerstache try-hard meggings five dollar toast yuccie. Shabby chic kinfolk bushwick. Knausgaard organic polaroid flannel schlitz fashion axe pop-up.,,other,azure,,shop,
10,Rustic Linen Bottle,$22.99,13,Apple,Keffiyeh hammock hashtag. Plaid artisan vinyl readymade typewriter polaroid. Squid whatever locavore tote bag crucifix.,,other,amber,,shop,
11,Enormous Bronze Shirt,$28.99,10,Nike,Intelligentsia ugh slow-carb. Trust fund poutine franzen. Keffiyeh semiotics chia wes anderson yolo. Butcher mixtape organic brooklyn +1 lo-fi health vegan.,,other,carmine,,shop,
12,Enormous Copper Clock,$57.99,5,Beats,Lo-fi authentic letterpress everyday literally lumbersexual. Narwhal roof deep v freegan marfa drinking organic.,,other,turquoise,,shop,
13,Small Marble Keyboard,$4.99,13,Apple,Flexitarian schlitz readymade lumbersexual yuccie ugh gluten-free phlogiston. Pitchfork ethical hammock chillwave cold-pressed fingerstache. Craft beer fashion axe meditation raw denim asymmetrical mustache heirloom. Franzen raw denim chartreuse flexitarian irony cred venmo celiac.,,other,bronze,,shop,
14,Incredible Copper Lamp,$89.99,6,LG,Banh mi ramps wayfarers forage brunch fanny pack bushwick. Deep v banh mi carry.,,other,purple,,shop,
15,Lightweight Bronze Wallet,$94.99,12,LG,Mustache retro selfies 90's hoodie. Kickstarter salvia celiac. Chia cardigan gluten-free. Thundercats williamsburg fashion axe echo farm-to-table.,,other,peach,,shop,
16,Lightweight Leather Chair,$98.99,9,Beats,Taxidermy waistcoat five dollar toast helvetica truffaut before they sold out chillwave roof. Small batch celiac forage selvage hashtag portland. Schlitz +1 cred everyday normcore helvetica. Art party narwhal letterpress put a bird on it.,,other,raspberry,,shop,
17,Synergistic Granite Hat,$45.99,2,Beats,Readymade you probably haven't heard of them ugh roof vegan freegan pork belly vice. Twee 3 wolf moon cronut umami biodiesel. Echo fingerstache ugh pug diy poutine kombucha typewriter.,,other,copper,,shop,
